Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,1,2,23,,46,9,25.658000,Pino Nero,True,0.170000,1.928295,30.000000,200.000000,2.610000,0.060000
Capistrano,1,2,24,,47,9,25.841000,Pino Nero,True,0.170000,2.024538,30.000000,200.000000,2.550000,0.060000
Capistrano,1,2,25,,38,7,24.030000,Pino Nero,True,0.110000,1.249677,30.000000,200.000000,3.160000,0.050000
Capistrano,1,2,26,,55,11,23.918000,Abete,True,0.240000,2.757634,30.000000,200.000000,2.180000,0.070000
Capistrano,1,2,27,,38,7,24.030000,Pino Nero,True,0.110000,1.249677,30.000000,200.000000,3.160000,0.050000
Capistrano,1,2,28,,41,8,24.678000,Pino Nero,True,0.130000,1.485328,30.000000,200.000000,2.930000,0.050000
Capistrano,1,2,29,,46,9,25.658000,Pino Nero,True,0.170000,1.928295,30.000000,200.000000,2.610000,0.060000
Capistrano,1,2,30,,49,10,26.196000,Pino Nero,True,0.190000,2.224817,30.000000,200.000000,2.450000,0.060000
Capistrano,1,2,31,,59,12,27.778000,Pino Nero,True,0.270000,3.384401,30.000000,200.000000,2.030000,0.070000
Capistrano,1,2,32,,51,10,26.537000,Pino Nero,True,0.200000,2.435541,30.000000,200.000000,2.350000,0.060000
Capistrano,1,2,33,,45,9,26.000000,Douglas,True,0.160000,1.802351,30.000000,200.000000,2.670000,0.060000
Capistrano,1,2,34,,41,8,24.678000,Pino Nero,True,0.130000,1.485328,30.000000,200.000000,2.930000,0.050000
Capistrano,1,2,35,,44,9,26.000000,Douglas,True,0.150000,1.723977,30.000000,200.000000,2.730000,0.050000
Capistrano,1,2,36,,53,10,26.864000,Pino Nero,True,0.220000,2.656705,30.000000,200.000000,2.260000,0.060000
Capistrano,1,9,1,,39,8,24.252000,Pino Nero,True,0.120000,1.325769,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,2,,46,9,25.658000,Pino Nero,True,0.170000,1.928295,25.000000,200.000000,2.170000,0.050000
Capistrano,1,9,3,,41,8,24.678000,Pino Nero,True,0.130000,1.485328,25.000000,200.000000,2.440000,0.040000
Capistrano,1,9,4,,40,8,27.000000,Douglas,True,0.130000,1.481167,25.000000,200.000000,2.500000,0.040000
Capistrano,1,9,5,,50,10,26.368000,Pino Nero,True,0.200000,2.328852,25.000000,200.000000,2.000000,0.050000
Capistrano,1,9,6,,49,10,26.196000,Pino Nero,True,0.190000,2.224817,25.000000,200.000000,2.040000,0.050000
Capistrano,1,9,7,,39,8,27.000000,Douglas,True,0.120000,1.408828,30.000000,200.000000,3.080000,0.050000
Capistrano,1,9,8,,35,7,23.330000,Pino Nero,True,0.100000,1.036247,25.000000,200.000000,2.860000,0.040000
Capistrano,1,9,9,,38,7,24.030000,Pino Nero,True,0.110000,1.249677,25.000000,200.000000,2.630000,0.040000
Capistrano,1,9,10,,27,5,21.120000,Pino Nero,True,0.060000,0.572039,25.000000,200.000000,3.700000,0.030000
Capistrano,1,9,11,,39,8,24.252000,Pino Nero,True,0.120000,1.325769,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,12,,40,8,24.467000,Pino Nero,True,0.130000,1.404268,25.000000,200.000000,2.500000,0.040000
Capistrano,1,9,13,,38,7,24.030000,Pino Nero,True,0.110000,1.249677,25.000000,200.000000,2.630000,0.040000
Capistrano,1,9,14,,27,5,21.120000,Pino Nero,True,0.060000,0.572039,25.000000,200.000000,3.700000,0.030000
Capistrano,1,9,15,,42,8,24.883000,Pino Nero,True,0.140000,1.568843,25.000000,200.000000,2.380000,0.040000
