Compresa,Particella,CP,Area (ha),Comparto,Governo,Raggio di saggio (m),AdS / ha,G medio saggi,No. fustaia,No. ceduo,m3 medio saggi,Età media,G/ha nuovo,G/ha vecchio,G particella nuovo,G particella vecchio,m3/ha nuovo,m3/ha vecchio,m3 tot nuovo,m3 tot vecchio,Pv med nuovo,Inc m3 %,pv : inc m3,Pv med vecchio,Incr/ha nuovo,Incr/ha vecchio,Incr tot nuovo,Incr tot vecchio,Ic/ha nuovo,Ic/ha vecchio,Ic tot nuovo,Ic tot vecchio,Prelievo %,Prelievo totale,Prelievo% Marco Malvaso,Provv minima',Provv minima Roberto,Prelievo % Roberto,Prelievo totale Roberto,mc/ha Roberto,Rapporto %,Rapporto mc
Serra,18,Serra-18,24.10,B,Fustaia,20,8,7.05,7857,0,111.19,88,56.44,37.00,1360.13,898.00,889.51,471.46,21437.26,11362.09,3.06,2.23,0.73,2.79,10.11,6.17,243.61,148.88,27.24,13.17,656.41,317.45,25.00,5359.31,,350.00,,25.00,5359.36,0.01,1.00,1.00
Serra,19,Serra-19,37.00,B,Fustaia,20,8,7.04,11544,0,110.62,77,56.33,41.00,2084.30,1532.00,884.93,534.00,32742.32,19783.15,3.66,2.76,0.75,3.04,11.49,16.23,425.22,600.66,32.43,16.23,1199.94,600.66,25.00,8185.58,,350.00,,20.00,6548.70,0.03,0.80,0.80
Capistrano,2,Capistrano-2,17.90,C,Fustaia,20,8,3.33,3389,0,44.83,70,26.64,38.00,476.88,673.00,358.67,398.79,6420.13,7138.29,2.86,2.18,0.76,2.73,5.12,6.85,91.72,122.65,10.25,19.91,183.47,195.20,15.00,963.02,,250.00,,25.00,1604.91,-0.03,1.67,1.67
Fabrizia,2,Fabrizia-2,30.39,E,Fustaia,20,8,4.36,12934,0,58.34,62,34.87,24.00,1059.76,675.00,466.70,275.44,14182.94,7712.28,3.68,1.90,0.52,2.53,7.53,5.46,228.76,155.30,17.16,6.96,521.62,194.89,10.00,1418.29,,350.00,,25.00,5304.27,231.46,2.50,3.74
Serra,20,Serra-20,13.60,B,Fustaia,20,8,5.63,3754,0,89.01,90,45.07,27.00,612.96,365.00,712.08,348.72,9684.30,4742.58,3.71,3.10,0.83,2.68,7.91,8.28,107.60,306.43,26.44,9.33,359.65,126.95,25.00,2421.08,,350.00,,25.00,2421.07,0.00,1.00,1.00
Serra,21,Serra-21,21.00,B,Fustaia,20,8,5.41,3360,0,81.11,98,43.26,32.00,908.47,679.00,648.91,419.55,13627.03,8810.60,2.99,0.96,0.32,2.55,6.62,4.86,139.05,102.26,19.40,10.71,407.42,224.83,25.00,3406.76,,350.00,,15.00,2043.97,-0.03,0.60,0.60
Serra,22,Serra-22,26.70,B,Fustaia,20,8,6.61,7796,0,122.56,83,52.89,40.00,1412.26,1058.00,980.44,512.66,26177.79,13688.05,3.14,2.64,0.84,2.76,11.81,7.25,315.40,193.73,30.83,14.17,823.15,378.28,25.00,6544.45,,350.00,,25.00,6544.71,0.04,1.00,1.00
Serra,23,Serra-23,36.50,A,Fustaia,20,8,7.46,11563,0,118.15,83,59.65,45.00,2177.04,1645.00,945.24,580.90,34501.23,21202.83,3.04,2.26,0.74,2.70,11.39,15.70,415.68,572.90,28.71,15.70,1047.89,572.90,25.00,8625.31,,350.00,,25.00,8624.95,-0.04,1.00,1.00
Serra,24,Serra-24,50.80,A,Fustaia,20,8,8.22,18938,0,140.73,81,65.74,37.00,3339.65,1902.00,1125.81,482.22,57190.90,24496.68,3.22,2.58,0.80,2.78,13.90,13.43,706.06,682.15,36.23,13.43,1840.62,682.15,25.00,14297.72,,350.00,,25.00,14298.16,0.03,1.00,1.00
Serra,25,Serra-25,44.65,B,Fustaia,20,8,7.47,17503,0,119.54,88,59.77,44.00,2668.64,1983.00,956.29,569.90,42698.27,25445.97,3.24,2.92,0.90,2.86,10.87,8.69,485.21,388.36,31.01,16.32,1384.38,728.51,25.00,10674.57,,350.00,,20.00,8539.94,0.03,0.80,0.80
Serra,26,Serra-26,19.35,A,Fustaia,20,8,9.12,9907,0,145.93,88,72.97,52.00,1411.88,1009.00,1167.45,664.54,22590.10,12858.87,3.57,2.98,0.84,3.01,13.27,10.87,256.71,210.49,41.64,20.03,805.67,387.56,25.00,5647.52,,350.00,,20.00,3700.96,-211.13,0.80,0.66
Serra,27,Serra-27,33.60,A,Fustaia,20,8,8.91,13978,0,138.14,89,71.30,45.00,2395.70,1513.00,1105.16,585.44,37133.36,19670.81,3.30,2.70,0.82,2.64,12.42,7.59,417.23,255.23,36.43,15.47,1224.08,519.96,25.00,9283.34,,350.00,,25.00,9283.01,-0.04,1.00,1.00
Serra,28,Serra-28,17.45,A,Fustaia,20,8,8.58,5305,0,144.91,80,68.63,44.00,1197.51,761.00,1159.29,565.00,20229.59,9859.22,3.16,2.32,0.73,2.57,14.49,7.21,252.87,125.89,36.61,14.53,638.81,253.58,25.00,5057.40,,350.00,,25.00,5057.36,-0.01,1.00,1.00
Serra,29,Serra-29,10.02,A,Fustaia,20,8,8.39,3928,0,129.99,75,67.09,44.00,672.27,436.00,1039.93,555.92,10420.12,5579.34,3.48,2.87,0.82,2.95,13.87,8.77,138.93,87.91,36.17,16.42,362.40,164.52,25.00,2605.03,,350.00,,25.00,2605.00,-0.01,1.00,1.00
Serra,2a,Serra-2a,2.95,B,Fustaia,20,8,8.91,1227,0,138.14,58,71.30,43.00,210.34,127.00,1105.16,542.74,3260.22,1601.08,3.98,3.27,0.82,3.83,19.05,11.88,56.21,35.05,43.97,20.79,129.70,61.33,20.00,652.04,,350.00,,20.00,652.02,-0.04,1.00,1.00
Serra,2b,Serra-2b,3.50,F,Ceduo,20,8,0.51,0,3836,1.52,17,4.06,0.00,14.19,0.00,12.17,32.00,42.58,112.00,2.00,2.00,1.00,21.88,0.72,6.40,2.50,22.40,0.24,7.00,0.85,24.50,,,,ceduo,,,,,,
