Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,1,2,23,,46,9,25.657722,Pino Nero,True,0.170000,1.928275,30.000000,200.000000,2.610000,0.060000
Capistrano,1,2,24,,47,9,25.840892,Pino Nero,True,0.170000,2.024530,30.000000,200.000000,2.550000,0.060000
Capistrano,1,2,25,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,30.000000,200.000000,3.160000,0.050000
Capistrano,1,2,26,,55,11,23.917657,Abete,True,0.240000,2.757595,30.000000,200.000000,2.180000,0.070000
Capistrano,1,2,27,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,30.000000,200.000000,3.160000,0.050000
Capistrano,1,2,28,,41,8,24.677665,Pino Nero,True,0.130000,1.485309,30.000000,200.000000,2.930000,0.050000
Capistrano,1,2,29,,46,9,25.657722,Pino Nero,True,0.170000,1.928275,30.000000,200.000000,2.610000,0.060000
Capistrano,1,2,30,,49,10,26.195823,Pino Nero,True,0.190000,2.224802,30.000000,200.000000,2.450000,0.060000
Capistrano,1,2,31,,59,12,27.777594,Pino Nero,True,0.270000,3.384354,30.000000,200.000000,2.030000,0.070000
Capistrano,1,2,32,,51,10,26.536552,Pino Nero,True,0.200000,2.435502,30.000000,200.000000,2.350000,0.060000
Capistrano,1,2,33,,45,9,29.213199,Douglas,True,0.160000,2.019305,30.000000,200.000000,2.670000,0.060000
Capistrano,1,2,34,,41,8,24.677665,Pino Nero,True,0.130000,1.485309,30.000000,200.000000,2.930000,0.050000
Capistrano,1,2,35,,44,9,28.859910,Douglas,True,0.150000,1.908590,30.000000,200.000000,2.730000,0.050000
Capistrano,1,2,36,,53,10,26.864173,Pino Nero,True,0.220000,2.656721,30.000000,200.000000,2.260000,0.060000
Capistrano,1,9,1,,39,8,24.251721,Pino Nero,True,0.120000,1.325755,25.000000,200.000000,2.560000,0.040000
