Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a),,
Capistrano,1,2,30,,49,10,26,Pino Nero,TRUE,0.19,2.45,30,200,2.45,0.06,,
Capistrano,1,2,31,,59,12,26,Pino Nero,TRUE,0.27,3.55,30,200,2.03,0.07,,
Capistrano,1,2,32,,51,10,26,Pino Nero,TRUE,0.20,2.65,30,200,2.35,0.06,,
Capistrano,1,2,33,,45,9,26,Douglas,TRUE,0.16,2.07,30,200,2.67,0.06,,
Capistrano,1,2,34,,41,8,26,Pino Nero,TRUE,0.13,1.72,30,200,2.93,0.05,,
Capistrano,1,2,35,,44,9,26,Douglas,TRUE,0.15,1.98,30,200,2.73,0.05,,
Capistrano,1,2,36,,53,10,26,Pino Nero,TRUE,0.22,2.87,30,200,2.26,0.06,,
Capistrano,1,9,1,,39,8,27,Pino Nero,TRUE,0.12,1.61,25,200,2.56,0.04,,
Capistrano,1,9,2,,46,9,27,Pino Nero,TRUE,0.17,2.24,25,200,2.17,0.05,,
Capistrano,1,9,3,,41,8,27,Pino Nero,TRUE,0.13,1.78,25,200,2.44,0.04,,
Capistrano,1,9,4,,40,8,27,Douglas,TRUE,0.13,1.70,25,200,2.50,0.04,,
Capistrano,1,9,5,,50,10,27,Pino Nero,TRUE,0.20,2.65,25,200,2.00,0.05,,
Capistrano,1,9,6,,49,10,27,Pino Nero,TRUE,0.19,2.54,25,200,2.04,0.05,,
Capistrano,1,9,7,,39,8,27,Douglas,TRUE,0.12,1.61,30,200,3.08,0.05,,
Capistrano,1,9,8,,35,7,27,Pino Nero,TRUE,0.10,1.30,25,200,2.86,0.04,,
Capistrano,1,9,9,,38,7,27,Pino Nero,TRUE,0.11,1.53,25,200,2.63,0.04,,
Capistrano,1,9,10,,27,5,27,Pino Nero,TRUE,0.06,0.77,25,200,3.70,0.03,,
Capistrano,1,9,11,,39,8,27,Pino Nero,TRUE,0.12,1.61,25,200,2.56,0.04,,
Capistrano,1,9,12,,40,8,27,Pino Nero,TRUE,0.13,1.70,25,200,2.50,0.04,,
Capistrano,1,9,13,,38,7,27,Pino Nero,TRUE,0.11,1.53,25,200,2.63,0.04,,
Capistrano,1,9,14,,27,5,27,Pino Nero,TRUE,0.06,0.77,25,200,3.70,0.03,,
Capistrano,1,9,15,,42,8,27,Pino Nero,TRUE,0.14,1.87,25,200,2.38,0.04,,
Capistrano,1,9,16,,40,8,27,Abete,TRUE,0.13,1.70,30,200,3.00,0.05,,
Capistrano,1,9,17,,42,8,27,Pino Nero,TRUE,0.14,1.87,25,200,2.38,0.04,,
Capistrano,1,9,18,,46,9,27,Pino Nero,TRUE,0.17,2.24,25,200,2.17,0.05,,
Capistrano,1,9,19,,34,7,27,Pino Nero,TRUE,0.09,1.23,25,200,2.94,0.04,,
Capistrano,1,9,20,,20,4,27,Douglas,TRUE,0.03,0.42,25,200,5.00,0.02,,
Capistrano,1,9,21,,22,4,27,Pino Nero,TRUE,0.04,0.51,25,200,4.55,0.02,,
Capistrano,1,9,22,,32,6,27,Pino Nero,TRUE,0.08,1.09,25,200,3.13,0.03,,
Capistrano,1,9,23,,31,6,27,Pino Nero,TRUE,0.08,1.02,25,200,3.23,0.03,,
Capistrano,1,9,24,,21,4,27,Pino Nero,TRUE,0.03,0.47,25,200,4.76,0.02,,
