Anno,Compresa,Particella,Governo
2026,Serra,21,Fustaia
2026,Serra,17,Fustaia
2026,Serra,5,Fustaia
2026,Serra,16,Fustaia
2027,Fabrizia,4,Fustaia
2027,Serra,20,Fustaia
2027,Serra,18,Fustaia
2027,Serra,4,Fustaia
2027,Serra,1,Fustaia
2027,Fabrizia,5a,Fustaia
2027,Fabrizia,8,Fustaia
2027,Fabrizia,5a,Fustaia
2028,Serra,6,Fustaia
2028,Serra,11,Fustaia
2028,Serra,12,Fustaia
2028,Fabrizia,14a,Fustaia
2028,Serra,13,Fustaia
2028,Fabrizia,7a,Fustaia
2029,Serra,10b,Fustaia
2029,Serra,22,Fustaia
2029,Serra,23,Fustaia
2029,Serra,2a,Fustaia
2030,Serra,19,Fustaia
2030,Serra,24,Fustaia
2030,Fabrizia,8,Fustaia
2030,Fabrizia,12a,Fustaia
2031,Serra,14,Fustaia
2031,Serra,15,Fustaia
2031,Fabrizia,11a,Fustaia
2031,Fabrizia,4,Fustaia
2031,Serra,7,Fustaia
2031,Fabrizia,6,Fustaia
2032,Serra,9,Fustaia
2032,Serra,29,Fustaia
2032,Serra,27,Fustaia
2033,Serra,28,Fustaia
2033,Serra,3,Fustaia
2033,Serra,17,Fustaia
2033,Serra,16,Fustaia
2034,Serra,5,Fustaia
2034,Serra,18,Fustaia
2034,Fabrizia,3,Fustaia
2034,Serra,4,Fustaia
2035,Serra,6,Fustaia
2035,Fabrizia,14a,Fustaia
2035,Fabrizia,9a,Fustaia
2035,Fabrizia,10a,Fustaia
2035,Capistrano,3,Fustaia
2035,Capistrano,4a,Fustaia
2035,Capistrano,2,Fustaia
2035,Serra,26,Fustaia
2035,Serra,13,Fustaia
2035,Serra,20,Fustaia
2036,Serra,25,Fustaia
2036,Serra,8,Fustaia
2037,Serra,12,Fustaia
2037,Serra,22,Fustaia
2037,Serra,23,Fustaia
2037,Serra,7,Fustaia
2038,Serra,11,Fustaia
2038,Serra,10b,Fustaia
2038,Serra,24,Fustaia
2039,Serra,19,Fustaia
2039,Fabrizia,12a,Fustaia
2039,Serra,14,Fustaia
2039,Serra,8,Fustaia
2039,Capistrano,5a,Fustaia
2039,Fabrizia,13a,Fustaia
2040,Serra,9,Fustaia
2040,Serra,15,Fustaia
2040,Fabrizia,11a,Fustaia
2040,Capistrano,1,Fustaia
2040,Fabrizia,2,Fustaia
2040,Serra,21,Fustaia
2040,Capistrano,6a,Fustaia
